time,year
1980,132.76869201660156
1981,180.16061401367188
1982,120.28536987304688
1983,264.5261535644531
1984,137.08164978027344
1985,214.4247589111328
1986,176.70396423339844
1987,121.93608093261719
1988,162.3192901611328
1989,161.30294799804688
1990,146.129150390625
1991,66.54074096679688
1992,189.54351806640625
1993,183.0726776123047
1994,194.4574432373047
1995,146.3822784423828
1996,210.79727172851562
1997,115.3869400024414
1998,246.9101104736328
1999,214.2635498046875
2000,212.19998168945312
2001,248.93685913085938
2002,186.0256805419922
2003,318.384765625
2004,183.43307495117188
2005,237.97369384765625
2006,256.71881103515625
2007,143.15541076660156
2008,243.75717163085938
2009,231.33181762695312
2010,263.4665222167969
2011,180.9252471923828
2012,257.6610107421875
2013,305.1731262207031
2014,214.88592529296875
2015,142.62225341796875
2016,222.6633758544922
2017,164.17904663085938
2018,120.42696380615234
2019,145.23876953125
2020,219.03236389160156
2021,206.51702880859375
2022,187.86080932617188
2023,202.72686767578125
