,tmax
1877,28.3
1878,29.060000000000002
1879,28.1
1880,29.28
1881,27.52
1882,27.580000000000002
1883,27.919999999999998
1884,27.339999999999996
1885,28.080000000000002
1886,28.619999999999997
1887,29.2
1888,27.52
1889,28.660000000000004
1890,27.959999999999997
1891,27.380000000000003
1892,29.440000000000005
1893,28.22
1894,27.860000000000003
1896,30.880000000000003
1897,28.120000000000005
1898,28.26
1899,29.120000000000005
1900,29.48
1901,29.000000000000007
1902,29.420000000000005
1903,30.220000000000006
1904,27.020000000000003
1905,30.540000000000003
1906,29.300000000000004
1907,28.040000000000003
1908,27.48
1909,30.2
1910,26.620000000000005
1911,28.100000000000005
1912,29.26
1913,26.820000000000004
1914,25.96
1915,29.46
1916,29.020000000000003
1917,29.580000000000005
1918,28.700000000000006
1919,31.720000000000006
1920,26.980000000000008
1921,30.000000000000007
1922,30.96
1923,31.120000000000005
1924,29.740000000000002
1925,28.060000000000002
1926,27.600000000000005
1927,31.420000000000005
1928,28.860000000000007
1929,30.220000000000006
1930,30.28000000000001
1931,28.94000000000001
1932,30.74000000000001
1933,32.34
1934,28.560000000000002
1935,29.300000000000004
1936,29.960000000000008
1937,29.900000000000006
1938,28.84000000000001
1939,27.600000000000005
1940,28.000000000000007
1941,27.180000000000007
1942,29.26000000000001
1943,31.100000000000005
1944,28.100000000000005
1945,28.680000000000007
1946,30.460000000000008
1948,30.220000000000006
1949,30.26
1950,29.900000000000006
1951,28.160000000000004
1952,27.420000000000005
1953,30.660000000000004
1954,27.84000000000001
1955,29.860000000000007
1956,26.900000000000006
1957,30.120000000000005
1958,29.640000000000008
1959,28.400000000000006
1960,30.100000000000005
1961,30.300000000000004
1962,30.24000000000001
1963,29.200000000000006
1964,30.560000000000002
1965,29.620000000000005
1966,30.440000000000005
1967,30.700000000000006
1968,27.900000000000006
1969,30.180000000000007
1970,31.640000000000004
1971,30.500000000000007
1972,28.920000000000005
1973,31.480000000000008
1974,30.660000000000004
1975,28.680000000000007
1976,28.560000000000002
1977,28.700000000000006
1978,31.320000000000004
1979,29.360000000000003
1980,29.220000000000006
1981,28.200000000000006
1982,29.520000000000003
1983,31.420000000000005
1984,30.28000000000001
1985,29.300000000000004
1986,29.860000000000003
1987,28.400000000000006
1988,30.700000000000006
1989,31.340000000000003
1990,30.560000000000002
1991,29.84000000000001
1992,28.540000000000003
1993,30.240000000000002
1994,30.000000000000007
1995,30.660000000000007
1996,30.920000000000005
1997,29.480000000000008
1998,33.20000000000001
1999,28.980000000000008
2000,27.440000000000005
2001,27.920000000000005
2002,31.600000000000005
2003,32.50000000000001
2004,29.940000000000005
2005,31.800000000000004
2006,27.500000000000007
2007,30.100000000000005
2008,30.94000000000001
2009,31.080000000000005
2010,30.900000000000013
2011,31.600000000000005
2012,30.400000000000006
2013,29.840000000000003
2014,27.880000000000006
2016,30.580000000000005
2017,28.480000000000008
2018,30.840000000000003
2019,30.720000000000006
2020,30.140000000000004
2021,29.520000000000003
2022,31.600000000000012
2023,32.96
