,Include,eval_sigma0_est,eval_sigma0_lower,eval_sigma0_upper,eval_shape_est,eval_shape_lower,eval_shape_upper,rp_value,attr_PR_est,attr_PR_lower,attr_PR_upper,attr_dI.abs_est,attr_dI.abs_lower,attr_dI.abs_upper,proj_PR_est,proj_PR_lower,proj_PR_upper,proj_dI.abs_est,proj_dI.abs_lower,proj_dI.abs_upper
ACCESS-CM2,Y,0.49,0.34,0.57,-0.23,-0.4,0.04,21.24,161.285,7.157,10000,1.4,0.84,1.97,1.960784314,1.644736842,2.331002331,1.1,1.02,1.2
ACCESS-ESM1-5,Y,0.46,0.35,0.55,-0.03,-0.22,0.15,21.88,31.444,11.107,838.576,1.62,1.18,2.07,1.964636542,1.652892562,2.364066194,1,0.92,1.1
CanESM5,Y,0.49,0.35,0.57,-0.23,-0.47,0.01,23.2,inf,98.435,10000,1.81,1.31,2.19,1.956947162,1.666666667,2.369668246,0.98,0.92,1.04
CMCC-ESM2,Y,0.43,0.34,0.5,-0.08,-0.27,0.09,21.63,16.251,2.883,5757.26,1.14,0.48,1.66,1.972386588,1.683501684,2.433090024,0.89,0.79,0.98
CNRM-CM6-1-HR,N,0.66,0.48,0.79,-0.25,-0.4,-0.07,17.38,30.834,6.733,inf,1.48,0.83,2.12,1.869158879,1.618122977,2.197802198,1.02,0.91,1.15
CNRM-CM6-1,N,0.49,0.36,0.58,0,-0.18,0.21,18.03,20.869,3.807,249.017,1.63,0.72,2.36,1.890359168,1.579778831,2.358490566,0.96,0.84,1.08
EC-Earth3,Y,0.62,0.45,0.72,-0.32,-0.57,-0.07,20.56,10000,33.79,10000,1.89,1.32,2.3,1.893939394,1.663893511,2.2172949,1.02,0.93,1.11
EC-Earth3-Veg,Y,0.58,0.44,0.67,-0.13,-0.56,0,20.46,81.677,14.938,10000,1.92,1.33,2.54,1.930501931,1.647446458,2.242152466,0.98,0.89,1.07
EC-Earth3-Veg-LR,Y,0.6,0.42,0.72,-0.15,-0.33,0.08,19.58,13.445,3.459,5046.637,1.33,0.66,2.05,1.930501931,1.709401709,2.283105023,1.07,0.95,1.18
FGOALS-g3,Y,0.63,0.44,0.73,-0.23,-0.44,0.01,20.18,281.582,12.676,10000,1.89,1.16,2.58,1.897533207,1.607717042,2.247191011,0.88,0.78,1
INM-CM4-8,Y,0.44,0.33,0.5,-0.23,-0.37,-0.07,20.99,10000,155.126,10000,1.9,1.35,2.42,1.960784314,1.46627566,2.7100271,1.03,0.82,1.24
INM-CM5-0,Y,0.5,0.33,0.6,-0.35,-0.55,-0.12,20.78,10000,177.718,10000,1.74,1.1,2.38,1.992031873,1.633986928,2.624671916,1.1,1,1.21
IPSL-CM6A-LR,N,0.39,0.26,0.49,0.02,-0.18,0.22,19.7,6.276,3.374,65.214,0.86,0.6,1.21,1.956947162,1.712328767,2.314814815,0.98,0.88,1.06
MIROC6,N,0.55,0.4,0.66,-0.14,-0.35,0.04,26.06,24551.424,126.395,10000,2.91,2.11,3.73,1.956947162,1.655629139,2.293577982,1.22,1.07,1.39
MPI-ESM1-2-HR,Y,0.67,0.51,0.77,-0.28,-0.5,-0.12,22.97,1231.19,12.117,10000,1.91,0.93,2.93,1.941747573,1.661129568,2.283105023,1.29,1.14,1.46
MPI-ESM1-2-LR,Y,0.72,0.47,0.84,-0.24,-0.42,0.03,21.71,2.478,0.425,49.984,0.65,-0.58,1.86,1.897533207,1.57480315,2.247191011,1.17,0.99,1.36
MRI-ESM2-0,Y,0.65,0.47,0.75,-0.18,-0.4,0.08,21.46,8.096,2.492,85.301,1.18,0.53,1.92,1.788908766,1.560062402,2.092050209,0.96,0.8,1.11
NorESM2-LM,N,0.48,0.34,0.57,-0.08,-0.3,0.08,23.98,36.223,6.28,10000,1.57,0.93,2.22,1.522070015,1.314060447,1.76366843,0.82,0.62,0.95
NorESM2-MM,Y,0.51,0.38,0.61,-0.06,-0.28,0.14,22.71,55.526,15.072,10000,1.92,1.25,2.45,1.972386588,1.689189189,2.309468822,1.1,0.98,1.22
CAM-22_CCCma-CanESM2_CRCM5,N,0.428322294799934,0.292093825132501,0.508823597606099,-0.111328015948528,-0.386287286337721,0.151657411960189,19.6229739362669,34.7231278311002,12.129797976521,4445.64556397623,1.37119568065085,1.07449657781199,1.6058998197681,1.95923915472496,1.90559522462845,1.99631854047522,0.92234546616988,0.827833628319314,1.03046076391368
CAM-22_MOHC-HadGEM2-ES_RegCM4-7,Y,0.594113651871858,0.439759532853412,0.724606915772636,-0.259320414102768,-0.531551501288063,-0.0846392431397488,22.3628183294189,25.0513191345396,6.13736047053182,Inf,1.33158504549583,0.905166348181057,1.98217262108453,1.90239699738598,1.82766669166414,1.9639654286446,0.904709878408891,0.783107964517173,1.02797542678463
CAM-22_MOHC-HadGEM2-ES_REMO2015,N,0.44168924833804,0.335953399953052,0.517780794541816,-0.353100300917048,-0.716918239622567,-0.0102672997113723,22.0616453530642,26559.96130448,28.1540500382102,Inf,1.49657869149588,1.16390752433829,1.96765244173204,1.96044809168772,1.88714072645797,1.99889049776463,0.986106771951196,0.883928618994266,1.13516585998189
CAM-22_MPI-M-MPI-ESM-LR_REMO2015,N,0.514522748420109,0.368101497771352,0.680931327180051,-0.250636487510744,-0.697122141297102,0.0215106844298056,21.7818705479388,5275.64191240252,21.2805559975487,Inf,1.51869813529185,1.06381642348937,2.0904843996903,1.975454321274,1.92347677661344,1.99929077080997,1.06122278537298,0.894442011130438,1.22705026700896
CAM-22_MPI-M-MPI-ESM-MR_RegCM4-7,Y,0.607262674331641,0.440498766377653,0.737381981632645,-0.285979497713675,-0.701719276798114,-0.0799407162112525,21.8433196900953,642.940118266293,12.1315844311915,Inf,1.6374220598416,1.07744489590898,2.22697799248902,1.91765594389048,1.79772098563263,1.98795218145998,1.01787727104871,0.822334639072764,1.21265849221833
CAM-22_NOAA-GFDL-GFDL-ESM2M_CRCM5,Y,0.434394703944203,0.312954730684237,0.532199235299515,-0.29444701404613,-0.547533681312755,-0.107666447555215,17.284369407244,4740.55792360365,22.7083978750115,Inf,1.35613949469784,0.869042058186883,1.81223511191452,1.99545470233323,1.96197394996181,1.99994847018053,1.18875981216915,0.996681273961744,1.32867633775159
CAM-22_NOAA-GFDL-GFDL-ESM2M_RegCM4-7,Y,0.64257476811938,0.479781926686898,0.808235957120391,-0.218977801462348,-0.707199055638852,0.0208951453669768,20.2519491374559,22.3215819102242,3.40687087247777,Inf,1.51067957820604,0.730125917438031,2.22367741560411,1.94492640314231,1.84179062077344,1.99730993584826,1.16519744618313,0.934871641121089,1.40615347954967
CAM-44_CCCma-CanESM2_CRCM5,N,0.485032009405363,0.34404765973084,0.586197924772263,-0.155547137512024,-0.589664458238552,0.126334856772991,19.8028170047681,20.0870013265376,7.72054098198748,799.437335071673,1.33885637521591,1.04675002911209,1.60563146975089,1.94327411939569,1.87564291303659,1.9913719530995,0.909963984211704,0.815159136774879,1.02423528201868
CAM-44_CCCma-CanESM2_RCA4,Y,0.618324470979946,0.343385099344429,0.809724333398611,-0.253768731387687,-0.670673062293936,0.407347918603731,19.7846700952317,23.3676325837173,8.73110752240561,Inf,1.4905694125307,1.20869919385571,1.80603542945107,1.86123112172686,1.75797731910123,1.96834441278413,0.964193229286618,0.842469424169966,1.09691865605653
CAM-44_CNRM-CERFACS-CNRM-CM5_RCA4,N,0.898003932081644,0.667181065582235,1.07907112048004,-0.389994623111526,-0.739264954169103,-0.0440497118744683,17.3721819609324,5.03966992014743,1.53442669124698,Inf,1.00753940714843,0.360284921535425,1.58223764695527,1.63014668260614,1.48203872603618,1.79171772131192,0.733878852156007,0.544635544821956,0.931665229993256
CAM-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_RCA4,Y,0.568634546102624,0.391696184086817,0.68170208297586,-0.0902470102989854,-0.59428704027468,0.208708260605355,20.1302906729795,114.234936600376,20.127760318096,Inf,2.08576560185355,1.1630132914707,2.6174249866835,1.97891499209294,1.9046842209609,1.9996820450565,1.3052148195685,1.14239884614958,1.4650599111494
CAM-44_ICHEC-EC-EARTH_RCA4,Y,0.640315610087156,0.446585472279423,0.833013647438225,-0.183949957081436,-0.597368664022483,0.245534338516744,18.124347869446,168.487481139616,9.35734775760377,Inf,1.81321857931714,1.25241087322092,2.33075621273347,1.93103684984284,1.83123828562453,1.99248312056485,1.0766991766524,0.935627584920375,1.21920917250861
CAM-44_MIROC-MIROC5_RCA4,Y,0.692687133733248,0.537301024695088,0.813034379756624,-0.218098594743634,-0.485364315076447,0.0521812026530243,19.2994528721248,16.4179894743938,4.00277355730199,Inf,1.35815920555662,0.854427013418194,1.95390358001866,1.89826953493248,1.82889063796022,1.96053884783836,1.1161612943385,0.954124739270061,1.29931696878132
CAM-44_MOHC-HadGEM2-ES_RCA4,Y,0.752122780534513,0.600517993960049,0.908790532160004,-0.293626735553671,-0.755192430921321,-0.150827269169283,19.4376008187789,13.0315746067819,3.49457540625405,Inf,1.2380211967685,0.803719183225204,1.74533389213031,1.85294443658915,1.76811417935382,1.9355853642847,0.954913871540356,0.850122588874005,1.05955553844285
CAM-44_MPI-M-MPI-ESM-LR_RCA4,Y,0.539636171326562,0.382011822375908,0.664377605131582,-0.135611684100091,-0.434826946947968,0.121908038987457,19.4197507337542,127.579405953605,25.5912210821543,Inf,1.67788636203877,1.29890289904096,1.98107326794948,1.9670671818929,1.89089739605241,1.99599084285831,1.12537552732197,0.980978712819142,1.25167583713147
CAM-44_NCC-NorESM1-M_RCA4,Y,0.504597078916796,0.354870891276441,0.745310611891383,-0.141018838859814,-0.65801858163498,0.0775950395952864,18.1557347545433,747.545903890678,43.3448148545488,Inf,1.93619155081267,1.49532718587496,2.32375865417202,1.95651907079245,1.88356306954652,1.99723446302633,1.10116452663155,0.926730922675311,1.29205995411479
CAM-44_NOAA-GFDL-GFDL-ESM2M_RCA4,Y,0.559280798325114,0.432283527262223,0.682196549907481,-0.195092068020398,-0.460496606549888,-0.00398793961538846,17.3061353966349,252.279071423322,12.0054357091666,Inf,1.57215332451417,1.03506285511337,2.00082802669665,1.95301313963931,1.87284852468464,1.9954477150869,1.18559232905216,1.01321787683205,1.36741117422905
EC-Earth3P-HR,Y,0.534434421242349,0.360224469327993,0.642496592540262,-0.329240014843743,-0.613947706686313,-0.037710685146589,21.3893341469505,Inf,24368.2037459803,Inf,2.26574390841349,1.71555611168266,2.74960974361834,1.96937311936573,1.90711182371807,1.99841871922469,1.19107667291627,1.04144703834717,1.35218834955568
EC-Earth3P,N,0.535826452633301,0.373049155916009,0.703754664241506,-0.216717762636171,-0.618003565880912,0.0543556812977686,21.395267109274,Inf,540.836694993986,Inf,2.00699896146758,1.45564072718705,2.51355226538824,1.97108084705063,1.92382222664606,1.99544508825132,1.28659591160534,1.11235844738676,1.44961653345589
HadGEM3-GC31-HM,Y,0.555594708035574,0.433315305529611,0.652727360478575,-0.234384081609594,-0.632172655238736,0.020208605559485,20.0000558667898,271.800050210843,11.7165488991212,Inf,1.52016227068308,1.05261847669145,1.99484534245594,1.9689104746964,1.90418596136089,1.99780127553517,1.11426931707659,0.976338769938963,1.2561847318049
HadGEM3-GC31-LM,N,0.656559727149415,0.485967252777652,0.83434272280005,-0.408044710872232,-0.784420781601454,-0.105517403952366,19.7171961812485,927.115982820791,18.8251586579723,Inf,1.46378030082339,1.08152752639231,1.88324691555279,1.95217631824941,1.89689848550727,1.99081851134771,1.08077949296931,0.961306031754007,1.20203750746222
HadGEM3-GC31-MM,N,0.42597344450235,0.265762293144608,0.526073251268106,-0.222096176614509,-0.446615902876051,0.127905158710031,20.0567727140279,1564.31246339547,77.6992740950572,Inf,2.02278217569712,1.62476547288082,2.39936797666513,1.99917511622912,1.98674078890923,1.99999971287029,1.13894692561618,1.04616130162347,1.23758979219258
MPI-ESM1-2-HR_hrmip,N,0.81188844219639,0.478742671343574,1.08339511525511,-0.450454655574368,-0.759393475770332,-0.105560059978595,24.1868081372817,Inf,111.442350001728,Inf,2.21863909896619,1.41167451144226,2.78569405612387,1.84789626005573,1.73438396236294,1.96246107029914,1.10796196759194,0.935654668373063,1.25602486450845
MPI-ESM1-2-XR,Y,0.666979615078488,0.417768328127392,0.857653401318562,-0.438682277926111,-0.672696414909006,-0.176783425703847,24.1459539848317,Inf,115.190485064532,Inf,2.03462467811542,1.4129136643984,2.6867067827925,1.92174956016598,1.83797666786111,1.9889597700607,1.1602866808524,1.03225369204292,1.28948528610363
