year,dayofyear
1950,165.0
1951,199.0
1952,117.0
1953,64.0
1954,108.0
1955,82.0
1956,93.0
1957,70.0
1958,127.0
1959,156.0
1960,68.0
1961,115.0
1962,49.0
1963,77.0
1964,101.0
1965,77.0
1966,152.0
1967,135.0
1968,44.0
1969,105.0
1970,17.0
1971,82.0
1972,62.0
1973,49.0
1974,76.0
1975,139.0
1976,139.0
1977,46.0
1978,58.0
1979,39.0
1980,24.0
1981,81.0
1982,57.0
1983,124.0
1984,142.0
1985,53.0
1986,119.0
1987,67.0
1988,77.0
1989,41.0
1990,49.0
1991,68.0
1992,102.0
1993,50.0
1994,75.0
1995,48.0
1996,129.0
1997,82.0
1998,70.0
1999,30.0
2000,124.0
2001,59.0
2002,150.0
2003,223.0
2004,71.0
2005,124.0
2006,173.0
2007,164.0
2008,55.0
2009,81.0
2010,119.0
2011,42.0
2012,134.0
2013,60.0
2014,191.0
2015,97.0
2016,106.0
2017,40.0
2018,39.0
2019,30.0
2020,301.0
2021,66.0
2022,104.0
2023,128.0
2024,82.0
2025,54.0
2026,119.0
2027,56.0
2028,79.0
2029,74.0
2030,75.0
2031,138.0
2032,80.0
2033,39.0
2034,122.0
2035,66.0
2036,78.0
2037,94.0
2038,63.0
2039,100.0
2040,81.0
2041,48.0
2042,166.0
2043,
2044,39.0
2045,98.0
2046,96.0
2047,61.0
2048,59.0
2049,81.0
2050,137.0
2051,60.0
2052,68.0
2053,101.0
2054,151.0
2055,145.0
2056,74.0
2057,83.0
2058,68.0
2059,133.0
2060,175.0
2061,174.0
2062,122.0
2063,
2064,169.0
2065,35.0
2066,88.0
2067,157.0
2068,141.0
2069,70.0
2070,72.0
2071,118.0
2072,101.0
2073,76.0
2074,81.0
2075,159.0
2076,105.0
2077,81.0
2078,77.0
2079,53.0
2080,71.0
2081,105.0
2082,115.0
2083,63.0
2084,150.0
2085,104.0
2086,139.0
2087,66.0
2088,105.0
2089,78.0
2090,111.0
2091,87.0
2092,124.0
2093,57.0
2094,182.0
2095,120.0
2096,74.0
2097,84.0
2098,120.0
2099,139.0
