year,fwimax
1940,13.008726119995117
1941,83.40476989746094
1942,60.44181823730469
1943,95.37750244140625
1944,107.59141540527344
1945,76.84718322753906
1946,87.89893341064453
1947,40.51493453979492
1948,88.0521011352539
1949,94.52288055419922
1950,51.04712677001953
1951,77.55778503417969
1952,39.274620056152344
1953,68.21346282958984
1954,122.94611358642578
1955,95.53594207763672
1956,60.130924224853516
1957,119.01576232910156
1958,76.70783996582031
1959,103.02484893798828
1960,135.24853515625
1961,105.92776489257812
1962,76.56185150146484
1963,75.69178771972656
1964,116.15608215332031
1965,85.337158203125
1966,31.86250877380371
1967,75.08631896972656
1968,56.404361724853516
1969,95.5625991821289
1970,84.3634262084961
1971,63.128787994384766
1972,67.79318237304688
1973,67.96012878417969
1974,69.7763442993164
1975,74.66188049316406
1976,94.54740142822266
1977,99.92841339111328
1978,151.78128051757812
1979,28.537654876708984
1980,73.3834228515625
1981,83.74671173095703
1982,62.58631134033203
1983,60.47271728515625
1984,48.825767517089844
1985,28.118024826049805
1986,73.90821838378906
1987,56.27146911621094
1988,51.242340087890625
1989,85.11197662353516
1990,100.98775482177734
1991,74.84324645996094
1992,61.130409240722656
1993,57.17860412597656
1994,55.8229866027832
1995,53.69074249267578
1996,65.926025390625
1997,59.11289978027344
1998,37.723819732666016
1999,57.74831771850586
2000,86.4975814819336
2001,83.2265625
2002,82.17986297607422
2003,59.251548767089844
2004,71.41357421875
2005,47.49947738647461
2006,85.49971771240234
2007,112.0855712890625
2008,63.78022766113281
2009,64.98969268798828
2010,61.347023010253906
2011,72.47268676757812
2012,77.9062271118164
2013,55.99000549316406
2014,95.44259643554688
2015,75.14154815673828
2016,64.33802032470703
2017,64.33464050292969
2018,125.14458465576172
2019,70.07804107666016
2020,64.80754089355469
2021,110.76742553710938
2022,72.27281188964844
2023,54.51123809814453
2024,75.92683410644531
2025,114.76374053955078
