year,tx
1950,20.10834503173828
1951,19.000259399414062
1952,19.24781608581543
1953,21.839820861816406
1954,20.226058959960938
1955,21.103574752807617
1956,19.56328582763672
1957,22.24748992919922
1958,19.78417205810547
1959,21.029966354370117
1960,21.074071884155273
1961,20.50046157836914
1962,16.254695892333984
1963,20.29587745666504
1964,19.388832092285156
1965,18.1639404296875
1966,22.88188934326172
1967,18.653833389282227
1968,18.3403263092041
1969,23.054378509521484
1970,20.677074432373047
1971,19.356088638305664
1972,24.930118560791016
1973,22.569599151611328
1974,21.110897064208984
1975,20.68350601196289
1976,19.595895767211914
1977,18.65606689453125
1978,20.123615264892578
1979,18.940948486328125
1980,22.819374084472656
1981,18.367624282836914
1982,19.97910499572754
1983,19.39173126220703
1984,19.829185485839844
1985,19.641639709472656
1986,19.519641876220703
1987,18.525009155273438
1988,22.09231948852539
1989,19.579853057861328
1990,18.879451751708984
1991,20.34099769592285
1992,21.35944366455078
1993,19.328014373779297
1994,22.813737869262695
1995,19.72889518737793
1996,21.151594161987305
1997,22.34457015991211
1998,18.251264572143555
1999,20.62111473083496
2000,19.6580810546875
2001,20.542137145996094
2002,21.718305587768555
2003,23.859834671020508
2004,22.00954246520996
2005,22.672014236450195
2006,21.549165725708008
2007,20.267637252807617
2008,19.935054779052734
2009,20.884321212768555
2010,20.91068458557129
2011,21.091243743896484
2012,18.045085906982422
2013,21.826250076293945
2014,23.903995513916016
2015,20.277502059936523
2016,20.596263885498047
2017,18.736875534057617
2018,25.28428840637207
2019,22.085947036743164
2020,22.572385787963867
2021,24.072879791259766
2022,22.910625457763672
2023,22.004140853881836
2024,21.834491729736328
2025,15.685017585754395
